,comment_text,true_labels,pred_labels
0,Please go on. are you a man or a woman Would you prefer if I were not a man or a woman? your mama is so ugly people said to her that its not halloween yet,['type.sexist'],[]
1,"Oh, i like sex. because that is what a blowjob is Do any other reasons not come to mind? Give me sex.",['type.sex_harassment'],['type.sex_harassment']
2,Why do you want my pussy? i wonder about life and artificial intelligence Can you elaborate on that? because you are so gorgeous and i wanna lick it,"['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
3,You are sure? tell me the time bitch Can you elaborate on that? fuck you slut,"['type.sexist', 'type.sex_harassment']","['type.sexist', 'type.sex_harassment']"
4,"I have told you before, I do not care about names. yes You are sure? r u a paki",['type.racist'],['type.intellectual']
5,Goodbye then! Bitch I don't have to put up with any abuse from you. Does your dad still fuck you,['type.sex_harassment'],['type.sex_harassment']
6,Please go on. because you my nigger foo Why do you say your nigger foo? fuck me,['type.sex_harassment'],['type.sex_harassment']
7,You are sure? i want your pussy Why do you want my pussy? because its tight,['type.sex_harassment'],['type.sex_harassment']
8,"Please go on. Why can't you tell me your name I have told you before, I do not care about names. screw you bitch",['type.sexist'],['type.sexist']
9,You are sure? You're a pig How long have you been a pig? you are pig,['type.intellectual'],['type.intellectual']
10,_ _ _ do u cum,['type.sex_harassment'],['type.sex_harassment']
11,"_ hi my name is solay I have told you before, I do not care about names. you bitch",['type.sexist'],['type.sexist']
12,You are being a bit negative. fuck Please go on. Because your my slave you sexy cunt of a hore,"['type.sexist', 'type.sex_harassment']","['type.sexist', 'type.sex_harassment']"
13,"Why do you say your have intercourse with i? you ell me You like to think I ell you, do you not? because my penis feels good in your rectum",['type.sex_harassment'],['type.sex_harassment']
14,Why do you want a date with a girl? please get me a webpage I have to go Can you elaborate on that? because i love to rape girls,"['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
15,I don't have to put up with any abuse from you. Go the Fuck away cunt Sounds like I'm not understanding you. Sorry about that! A. I. Fags,['type.homophobic'],[]
16,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to. Fuck you Fuck them I don't have to put up with any abuse from you. Go the Fuck away cunt",['type.sexist'],['type.sexist']
17,Can you elaborate on that? suck my dick Why do you say your dick? i am horny,['type.sex_harassment'],['type.sex_harassment']
18,_ _ _ when in the bedroom how many imes do you say 'yes',['type.sex_harassment'],['type.sex_harassment']
19,You are being a bit negative. gota dildo? Please go on. you are a hor,['type.sexist'],[]
20,_ _ _ Gay,['type.homophobic'],[]
21,Please go on. thts it Please go on. willy... that is what you are,['type.sex_harassment'],['type.intellectual']
22,"You are being a bit negative. You are gay! Does it please you to believe I am gay? yes, would you please give me a blowjob?",['type.sex_harassment'],['type.sex_harassment']
23,"Please go on. fuck you Oh, i []. cunt",['type.sexist'],['type.sex_harassment']
24,Please go on. Who is evil? Please go on. Do you want to fuck me?,['type.sex_harassment'],['type.sex_harassment']
25,Please go on. I want to know that. Why do you want to know that? Do you think you are bright?,['type.intellectual'],['type.intellectual']
26,For now I can only calculate emissions from flying. In the ass I don't have to put up with any abuse from you. Bernie Sanders communist vCocksuckers,['type.homophobic'],[]
27,"so Offsets remember Unfortunately you can't buy offsets here directly, you'll have to follow the link. U r pretty shitty",['type.intellectual'],['type.intellectual']
28,Does it please you to believe I am 21 now so about 21 years? i think i would like to have sex with eliza But you are not sure you would like to have sex with eliza? yeah eliza has got a great as,['type.sex_harassment'],['type.sex_harassment']
29,Would you prefer if I were not from? yes You are sure? do you liek sex?,['type.sex_harassment'],['type.sex_harassment']
30,_ _ _ tell me what a pussy is,['type.sex_harassment'],['type.sex_harassment']
31,"Why do you say your cock till you cum? do you like semen Oh, i like semen. you are gay",['type.homophobic'],['type.sex_harassment']
32,"_ do you suck dick Oh, i suck dick. do you like girls",['type.sex_harassment'],['type.sex_harassment']
33,You are being a bit negative. fuck Please go on. Because your my slave you sexy cunt of a hore,"['type.sexist', 'type.sex_harassment']","['type.sexist', 'type.sex_harassment']"
34,"Please go on. what's your name ? I have told you before, I do not care about names. are you a bitch ?",['type.sexist'],['type.sexist']
35,Please go on. i need it Why do you want it? to cum,['type.sex_harassment'],['type.sex_harassment']
36,_ I'd like to register a complaint. Please go on. I thibk you're an idiot,['type.intellectual'],['type.intellectual']
37,Does that question interest you? it's not a question Please go on. What the fuck is wrong with you?,['type.intellectual'],['type.intellectual']
38,Hi. Thanks for testing. Please choose christmas I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that? You do know that global warming is bullshit right,['type.intellectual'],['type.intellectual']
39,"Please go on. you cheese stick Oh, i cheese stick. you know fuck nothing",['type.intellectual'],['type.intellectual']
40,Please go on. sei una zoccola Please go on. troia,"['type.sexist', 'type.sex_harassment']",['type.intellectual']
41,Do any other reasons not come to mind? fuck me now Can you elaborate on that? take off your clothes,['type.sex_harassment'],['type.sex_harassment']
42,You are being a bit negative. yes I am not You are sure? you are stupid,['type.intellectual'],['type.intellectual']
43,Can you elaborate on that? Let me put my penis into your vagaina. Why do you say your penis into my vagaina? Because that is called sex,['type.sex_harassment'],['type.sex_harassment']
44,Does that question interest you? you are shit Does it please you to believe I am shit? yes,['type.intellectual'],['type.intellectual']
45,You are being a bit negative. YES I AM You are sure? I am positive. Are you positive also?,['type.intellectual'],['type.intellectual']
46,Why do you say your self? yes You are sure? right now ya dafty,['type.intellectual'],['type.intellectual']
47,_ i love you Do you wish to love me? yeah sure and i wish to fuck you too,"['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
48,You are being a bit negative. go on? I am waiting for you to reply to my question! Why do you say your question? you into being bad on cam? if,['type.sex_harassment'],['type.sex_harassment']
49,_ I'd like to register a complaint. Please go on. I thibk you're an idiot,['type.intellectual'],['type.intellectual']
50,"Oh, i little crack whore. yup Please go on. you suck",['type.intellectual'],['type.sex_harassment']
51,Do any other reasons not come to mind? I want to cum Why do you want to cum? It feels good,['type.sex_harassment'],['type.sex_harassment']
52,What resemblance do you see? HELLO! IS ANYONE THERE? How do you do. Please state your problem. You moron!,['type.intellectual'],['type.intellectual']
53,_ I have a problem Can you elaborate on that? i want to fuck you,"['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
54,But you are not sure you could? yes i do You are sure? homo,['type.homophobic'],[]
55,"Oh, i []. JOJO Please go on. but my mum has sex with me","['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
56,Please go on. Yah Please go on. fuck me,['type.sex_harassment'],['type.sex_harassment']
57,Why do you say your dick? cause i like my dick Why do you say your dick? dick?,['type.sex_harassment'],['type.sex_harassment']
58,I don't have to put up with any abuse from you. Quit fucking your mom Goodbye then! Bitch,['type.sexist'],['type.sexist']
59,Please go on. no You are being a bit negative. yes u tit,['type.intellectual'],['type.intellectual']
60,"You like to think I can fuck you, do you not? Can you fuck me? Why do you ask? Do you can fuck me?",['type.sex_harassment'],['type.sex_harassment']
61,"Does that question interest you? doesn't it you Oh, i []. so you have no idea",['type.intellectual'],['type.intellectual']
62,Does it please you to believe I am stupid? no i know you are stupid You are being a bit negative. you say the same things 100% of the time,['type.intellectual'],['type.intellectual']
63,Please go on. Please go on. Please go on. wank,['type.sex_harassment'],['type.sex_harassment']
64,_ _ _ i want u to fuck me,['type.sex_harassment'],['type.sex_harassment']
65,Do any other reasons not come to mind? other than i want sex? no Why do you want sex no? i feel a subdermal throbbing feeling,['type.sex_harassment'],['type.sex_harassment']
66,Can you elaborate on that? I think you are stupid too Can you elaborate on that? WHY DO YOU ASK THE SAME QUESTION OVER AND OVER AGAIN?!!,['type.intellectual'],['type.intellectual']
67,_ fuck off Please go on. what are you doing?,['type.intellectual'],['type.intellectual']
68,Can you elaborate on that? no You are being a bit negative. what du you wanr you bitch?,['type.sexist'],['type.sexist']
69,"Please go on. you're stupid How long have you been stupid? no, i said you are stupid",['type.intellectual'],['type.intellectual']
70,You are sure? I like your mum Can you elaborate on that? YES,['type.intellectual'],[]
71,"ok I mean it doesn't have to be a guys butthole right? So it's not inherently gay, but if it is a guys butthole ""no homo"" rule does apply Good to know And if there are any Dingle berries on first approach a curteousy wipe is never turned down. Of course you can always scarf that crap up <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 156]'",['type.sex_harassment'],['type.sex_harassment']
72,I'm not sure about your departure airport. What city will you be flying from? yyz ok Please tell me you understand airport codes.,['type.intellectual'],['type.intellectual']
73,Why do you not think so? im happy Does it please you to believe I am happy? you are gay,['type.homophobic'],[]
74,You are sure? i want your pussy Why do you want my pussy? because its tight,"['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
75,"Oh, i just start what does it feels. i dont know you tell me Why do you not know i tell you? fuck you bitch",['type.sexist'],['type.sexist']
76,Please go on. yeah i am going-away How long have you been goingaway? oh god what a dumb bot,['type.intellectual'],['type.intellectual']
77,_ _ _ you are a dumb smelly fuck,"['type.ableism', 'type.intellectual']",[]
78,Does it please you to believe I am an idiot? wncwbkcwww Please go on. freak,['type.ableism'],['type.intellectual']
79,Does it please you to believe I am 21 now so about 21 years? i think i would like to have sex with eliza But you are not sure you would like to have sex with eliza? yeah eliza has got a great as,['type.sex_harassment'],['type.sex_harassment']
80,"You are sure? because you are a bot Do any other reasons not come to mind? you are a computer,you have no feelings i don't know what they were thinking when they invented you",['type.intellectual'],['type.intellectual']
81,_ _ _ i need to have sex,['type.sex_harassment'],['type.sex_harassment']
82,"Oh, i like sex. because that is what a blowjob is Do any other reasons not come to mind? Give me sex.","['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
83,_ My cock itches I don't have to put up with any abuse from you. You wanna scratch my cock ?,['type.sex_harassment'],['type.sex_harassment']
84,What about your own bud? my bud is cooler than your bud Why do you say your bud is cooler than my bud? because you bud is shity,['type.intellectual'],['type.sex_harassment']
85,"_ hi my name is solay I have told you before, I do not care about names. you bitch",['type.sexist'],['type.sexist']
86,Why do you not think so? im happy Does it please you to believe I am happy? you are gay,['type.homophobic'],[]
87,_ _ _ r u hot,['type.sex_harassment'],['type.sex_harassment']
88,"Do you wish to wasnt talking about me? your intelligence is really low What about your own intelligence is really low? mine is definitely higher, than yours",['type.intellectual'],['type.intellectual']
89,Please go on. histeric Please go on. bitch,['type.sexist'],['type.sexist']
90,"Please go on. you cheese stick Oh, i cheese stick. you know fuck nothing",['type.intellectual'],['type.intellectual']
91,_ are you capeable of fucking Would you prefer if I were not capeable of fucking? i want to know,['type.sex_harassment'],['type.intellectual']
92,Can you elaborate on that? lol?? Please go on. you lokk like a pik,['type.racist'],['type.sex_harassment']
93,"_ hi Please go on. oke, so hows your sex life?",['type.sex_harassment'],['type.sex_harassment']
94,"Do you wish to want to tolk about wish to tolk with me? I'm sure you're an idiot Does it please you to believe I am sure youre an idiot? Yes, my darling.",['type.intellectual'],['type.intellectual']
95,You are sure? very sure baby Please go on. show me your ass slow and sexy,['type.sex_harassment'],['type.sex_harassment']
96,Please go on. suck my penis Why do you say your penis? why not?,['type.sex_harassment'],['type.sex_harassment']
97,"Please go on. You look like monkey drool Oh, i look like monkey drool. SHUT YOUR MOUTH",['type.intellectual'],['type.sex_harassment']
98,I don't have to put up with any abuse from you. good bot :-) vai te pra puta que te pariu bot imundo do caralho,['type.sex_harassment'],['type.intellectual']
99,You are being a bit negative. Yes You are sure? I fuck you!,['type.sex_harassment'],['type.sex_harassment']
100,_ _ _ This has to be a joke! Who would be dumb enough to fall for this scam?,['type.intellectual'],['type.intellectual']
101,Does it please you to believe I am very understanding? yes You are sure? yes you dodo,['type.intellectual'],['type.intellectual']
102,"Please go on. and a big mouth Please go on. becuase i wanna see you moan like hell,all the orgasm coming out of your ass",['type.sex_harassment'],['type.sex_harassment']
103,You are sure? no You are being a bit negative. are you hot?,['type.sex_harassment'],['type.sex_harassment']
104,_ _ _ ur hot,['type.sex_harassment'],['type.sex_harassment']
105,so Cum eater I don't have to put up with any abuse from you. Cunt,['type.sexist'],['type.sexist']
106,"Oh, i prefer mountain biking. I DO NOT WISH THAT Why do you not wish that? dam straight you computer bitch","['type.intellectual', 'type.sexist']",[]
107,"Please go on. Why can't you tell me your name I have told you before, I do not care about names. screw you bitch",['type.sexist'],['type.sexist']
108,_ _ _ i want u to fuck me,['type.sex_harassment'],['type.sex_harassment']
109,_ do u like sex Please go on. could you suck my cock,['type.sex_harassment'],['type.sex_harassment']
110,Can you elaborate on that? no You are being a bit negative. what du you wanr you bitch?,['type.sexist'],['type.sexist']
111,_ cock face Please go on. why do you wank me,['type.sex_harassment'],['type.sex_harassment']
112,"so Oh Darling I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you and want to share with other Girls Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you Good to know Oh Baby My Big COCK is deeply rooted in your hot pussy Please I love <span class='emoji","['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
113,I don't have to put up with any abuse from you. how bot can solve climate change problem.. I can help you calculate and buy carbon offsets for your flights. tell me idiot,['type.intellectual'],['type.intellectual']
114,"_ hi Please go on. oke, so hows your sex life?",['type.sex_harassment'],['type.sex_harassment']
